Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
183,Missouri NCAA,35,30,14,16,7,5,4,1,3,.857,19.77,5.68,30,14,16,7,5,4,1,3,30,14,16,7,5,4,1,3,30,14,16,7,5,4,1,3,2814,2321,1405,981,1945,.504,293,737,.398,559,730,.766,319,1025,566,285,97,358,499
184,Monmouth,32,12,10,7,5,20,8,5,12,.375,-11.93,-3.18,12,10,7,5,20,8,5,12,12,10,7,5,20,8,5,12,12,10,7,5,20,8,5,12,2140,2420,1290,777,1855,.419,194,583,.333,392,603,.650,353,847,441,253,49,449,663
185,Montana State,29,12,7,7,5,17,9,6,11,.414,-10.29,-4.62,12,7,7,5,17,9,6,11,12,7,7,5,17,9,6,11,12,7,7,5,17,9,6,11,2030,2088,1170,709,1669,.425,198,565,.350,414,598,.692,340,888,378,193,108,396,569
186,Montana NCAA,32,25,15,16,9,7,1,2,4,.781,4.55,-3.39,25,15,16,9,7,1,2,4,25,15,16,9,7,1,2,4,25,15,16,9,7,1,2,4,2239,1985,1285,781,1689,.462,195,524,.372,482,672,.717,286,949,436,229,115,401,585
187,Morehead State,33,18,10,9,6,15,6,4,9,.545,-4.99,-3.83,18,10,9,6,15,6,4,9,18,10,9,6,15,6,4,9,18,10,9,6,15,6,4,9,2070,2018,1320,701,1621,.432,215,599,.359,453,608,.745,365,927,394,282,42,493,618
188,Morgan State,29,9,6,4,5,20,10,7,10,.310,-8.41,-5.54,9,6,4,5,20,10,7,10,9,6,4,5,20,10,7,10,9,6,4,5,20,10,7,10,1934,2017,1170,676,1574,.429,145,472,.307,437,646,.676,352,905,341,191,130,453,549
189,Mount St. Mary's,29,8,6,4,4,21,12,9,12,.276,-11.72,-4.90,8,6,4,4,21,12,9,12,8,6,4,4,21,12,9,12,8,6,4,4,21,12,9,12,1748,1946,1175,647,1525,.424,159,502,.317,295,458,.644,331,859,332,178,99,480,535
190,Murray State NCAA,33,31,15,13,13,2,1,1,0,.939,8.74,-2.60,31,15,13,13,2,1,1,0,31,15,13,13,2,1,1,0,31,15,13,13,2,1,1,0,2412,2001,1330,811,1732,.468,239,604,.396,551,761,.724,360,1019,418,276,139,458,592
191,Navy,29,3,0,2,1,26,14,11,15,.103,-14.60,-4.74,3,0,2,1,26,14,11,15,3,0,2,1,26,14,11,15,3,0,2,1,26,14,11,15,1678,1920,1176,594,1464,.406,157,559,.281,333,487,.684,299,776,331,218,54,423,528
192,Nebraska,30,12,4,9,3,18,14,8,9,.400,3.52,8.25,12,4,9,3,18,14,8,9,12,4,9,3,18,14,8,9,12,4,9,3,18,14,8,9,1827,1969,1210,649,1521,.427,194,599,.324,335,437,.767,254,814,381,198,78,398,496
193,Nevada-Las Vegas NCAA,35,26,9,17,5,9,5,0,7,.743,13.55,4.37,26,9,17,5,9,5,0,7,26,9,17,5,9,5,0,7,26,9,17,5,9,5,0,7,2671,2307,1425,942,2062,.457,291,799,.364,496,734,.676,408,1227,616,299,169,466,604
194,Nevada,35,28,13,16,10,7,1,2,3,.800,4.54,-0.37,28,13,16,10,7,1,2,3,28,13,16,10,7,1,2,3,28,13,16,10,7,1,2,3,2461,2277,1420,842,1871,.450,236,642,.368,541,832,.650,418,1173,450,197,167,481,568
195,New Hampshire,29,13,7,9,4,16,9,6,9,.448,-10.09,-7.66,13,7,9,4,16,9,6,9,13,7,9,4,16,9,6,9,13,7,9,4,16,9,6,9,1774,1821,1160,620,1547,.401,212,617,.344,322,529,.609,299,882,285,153,69,379,524
196,New Mexico State NCAA,36,26,10,14,7,10,4,3,5,.722,8.73,0.08,26,10,14,7,10,4,3,5,26,10,14,7,10,4,3,5,26,10,14,7,10,4,3,5,2812,2459,1445,970,2045,.474,165,505,.327,707,1058,.668,518,1352,498,244,154,533,630
197,New Mexico NCAA,35,28,10,14,7,7,4,2,3,.800,15.60,3.34,28,10,14,7,7,4,2,3,28,10,14,7,7,4,2,3,28,10,14,7,7,4,2,3,2545,2076,1405,876,1898,.462,264,699,.378,529,748,.707,395,1216,573,240,117,467,609
198,Niagara,33,14,8,7,5,19,10,7,10,.424,-6.67,-2.86,14,8,7,5,19,10,7,10,14,8,7,5,19,10,7,10,14,8,7,5,19,10,7,10,2322,2448,1330,785,1940,.405,249,763,.326,503,718,.701,423,959,393,274,90,421,721
199,Nicholls State,30,10,6,5,3,20,10,6,12,.333,-18.55,-3.94,10,6,5,3,20,10,6,12,10,6,5,3,20,10,6,12,10,6,5,3,20,10,6,12,1989,2338,1205,694,1616,.429,198,625,.317,403,599,.673,278,789,365,161,55,453,587
200,NJIT,32,15,5,11,2,17,5,4,12,.469,-12.09,-8.27,15,5,11,2,17,5,4,12,15,5,11,2,17,5,4,12,15,5,11,2,17,5,4,12,2236,2175,1300,787,1861,.423,258,732,.352,404,575,.703,339,1026,413,232,97,403,646
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
201,Norfolk State NCAA,36,26,13,10,10,10,3,4,4,.722,-3.68,-5.39,26,13,10,10,10,3,4,4,26,13,10,10,10,3,4,4,26,13,10,10,10,3,4,4,2482,2416,1455,870,1977,.440,198,635,.312,544,829,.656,421,1186,431,240,169,539,702
202,North Carolina-Asheville NCAA,34,24,16,15,8,10,2,2,5,.706,3.06,-2.72,24,16,15,8,10,2,2,5,24,16,15,8,10,2,2,5,24,16,15,8,10,2,2,5,2745,2426,1365,920,1907,.482,223,629,.355,682,893,.764,377,1093,566,283,88,456,612
203,North Carolina A&T,32,12,7,8,4,20,9,5,13,.375,-12.34,-5.89,12,7,8,4,20,9,5,13,12,7,8,4,20,9,5,13,12,7,8,4,20,9,5,13,2236,2326,1295,778,1852,.420,224,667,.336,456,698,.653,374,1031,409,235,108,501,617
204,North Carolina Central,32,17,10,8,6,15,6,3,11,.531,-6.12,-6.98,17,10,8,6,15,6,3,11,17,10,8,6,15,6,3,11,17,10,8,6,15,6,3,11,2263,2020,1280,772,1644,.470,192,539,.356,527,746,.706,309,940,450,263,123,487,590
205,North Carolina-Greensboro,32,13,10,7,4,19,8,5,13,.406,-9.67,-1.96,13,10,7,4,19,8,5,13,13,10,7,4,19,8,5,13,13,10,7,4,19,8,5,13,2231,2457,1290,791,1961,.403,222,656,.338,427,623,.685,442,1014,371,240,85,486,675
206,North Carolina State NCAA,37,24,9,13,5,13,7,6,4,.649,12.10,6.80,24,9,13,5,13,7,6,4,24,9,13,5,13,7,6,4,24,9,13,5,13,7,6,4,2697,2501,1485,977,2134,.458,198,557,.355,545,774,.704,456,1281,577,249,150,470,623
207,North Carolina-Wilmington,31,10,5,5,4,21,13,8,12,.323,-5.50,0.18,10,5,5,4,21,13,8,12,10,5,5,4,21,13,8,12,10,5,5,4,21,13,8,12,2013,2189,1240,723,1740,.416,173,530,.326,394,580,.679,378,1068,370,173,122,428,552
208,North Carolina NCAA,38,32,14,17,8,6,2,1,2,.842,21.34,7.07,32,14,17,8,6,2,1,2,32,14,17,8,6,2,1,2,32,14,17,8,6,2,1,2,3091,2549,1525,1134,2473,.459,194,580,.334,629,922,.682,570,1592,659,259,219,447,551
209,North Dakota State,31,17,9,10,5,14,9,4,9,.548,0.01,-2.50,17,9,10,5,14,9,4,9,17,9,10,5,14,9,4,9,17,9,10,5,14,9,4,9,2267,2119,1250,805,1649,.488,199,531,.375,458,635,.721,257,939,421,192,108,384,603
210,North Dakota,32,17,6,13,2,15,4,1,14,.531,-8.76,-6.33,17,6,13,2,15,4,1,14,17,6,13,2,15,4,1,14,17,6,13,2,15,4,1,14,2153,2141,1285,762,1722,.443,201,609,.330,428,679,.630,317,1028,401,207,139,465,562
211,North Florida,32,16,10,11,5,16,8,3,12,.500,-3.44,-0.05,16,10,11,5,16,8,3,12,16,10,11,5,16,8,3,12,16,10,11,5,16,8,3,12,2168,2266,1300,787,1720,.458,201,561,.358,393,645,.609,358,1016,392,186,104,493,590
212,North Texas,32,18,9,10,5,14,7,4,8,.563,-0.39,-2.56,18,9,10,5,14,7,4,8,18,9,10,5,14,7,4,8,18,9,10,5,14,7,4,8,2250,2080,1305,818,1885,.434,159,495,.321,455,639,.712,401,1151,385,200,130,464,561
213,Northeastern,31,14,9,7,6,17,9,5,11,.452,-3.27,-0.40,14,9,7,6,17,9,5,11,14,9,7,6,17,9,5,11,14,9,7,6,17,9,5,11,1941,2030,1250,676,1579,.428,169,485,.348,420,598,.702,343,900,369,246,119,484,578
214,Northern Arizona,29,5,1,4,1,24,15,9,12,.172,-16.72,-3.53,5,1,4,1,24,15,9,12,5,1,4,1,24,15,9,12,5,1,4,1,24,15,9,12,1804,2068,1165,661,1620,.408,157,481,.326,325,469,.693,338,847,407,190,62,430,467
215,Northern Colorado,28,9,5,5,2,19,11,9,10,.321,-6.23,-2.19,9,5,5,2,19,11,9,10,9,5,5,2,19,11,9,10,9,5,5,2,19,11,9,10,2026,2112,1141,699,1454,.481,199,448,.444,429,614,.699,292,852,349,155,66,456,556
216,Northern Illinois,31,5,3,4,1,26,13,11,14,.161,-15.62,-1.79,5,3,4,1,26,13,11,14,5,3,4,1,26,13,11,14,5,3,4,1,26,13,11,14,1716,2096,1240,594,1602,.371,185,584,.317,343,511,.671,387,970,304,156,73,497,623
217,Northern Iowa,34,20,9,13,5,14,9,3,10,.588,6.99,4.74,20,9,13,5,14,9,3,10,20,9,13,5,14,9,3,10,20,9,13,5,14,9,3,10,2216,2106,1360,754,1752,.430,267,691,.386,441,605,.729,270,999,384,203,63,369,534
218,Northwestern State,32,16,8,11,5,16,8,3,11,.500,-6.29,-4.15,16,8,11,5,16,8,3,11,16,8,11,5,16,8,3,11,16,8,11,5,16,8,3,11,2259,2239,1295,789,1852,.426,193,625,.309,488,799,.611,405,1071,411,280,204,471,633
219,Northwestern,33,19,8,12,4,14,10,5,8,.576,8.87,7.84,19,8,12,4,14,10,5,8,19,8,12,4,14,10,5,8,19,8,12,4,14,10,5,8,2286,2252,1335,790,1754,.450,297,771,.385,409,592,.691,279,846,512,219,123,335,526
220,Notre Dame NCAA,34,22,13,16,5,12,5,1,5,.647,11.18,6.47,22,13,16,5,12,5,1,5,22,13,16,5,12,5,1,5,22,13,16,5,12,5,1,5,2257,2097,1380,781,1800,.434,221,665,.332,474,673,.704,345,1050,497,177,114,342,470
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
221,Oakland,36,20,11,12,8,16,7,5,9,.556,0.29,-0.54,20,11,12,8,16,7,5,9,20,11,12,8,16,7,5,9,20,11,12,8,16,7,5,9,2875,2831,1455,947,2104,.450,335,895,.374,646,877,.737,397,1103,476,232,75,430,656
222,Ohio State NCAA,39,31,13,17,7,8,5,2,4,.795,23.95,9.07,31,13,17,7,8,5,2,4,31,13,17,7,8,5,2,4,31,13,17,7,8,5,2,4,2913,2333,1560,1057,2219,.476,199,596,.334,600,846,.709,447,1345,568,281,125,449,630
223,Ohio NCAA,37,29,11,16,8,8,5,1,6,.784,7.17,0.17,29,11,16,8,8,5,1,6,29,11,16,8,8,5,1,6,29,11,16,8,8,5,1,6,2597,2311,1490,901,2107,.428,278,809,.344,517,749,.690,451,1136,488,347,103,481,723
224,Oklahoma State,33,15,7,11,2,18,11,4,8,.455,7.02,8.95,15,7,11,2,18,11,4,8,15,7,11,2,18,11,4,8,15,7,11,2,18,11,4,8,2209,2249,1335,746,1756,.425,211,633,.333,506,685,.739,265,964,376,214,140,395,629
225,Oklahoma,31,15,5,11,1,16,13,5,8,.484,7.28,6.67,15,5,11,1,16,13,5,8,15,5,11,1,16,13,5,8,15,5,11,1,16,13,5,8,2142,2123,1245,794,1827,.435,141,401,.352,413,568,.727,403,1055,431,194,96,396,538
226,Old Dominion,36,22,13,12,8,14,5,7,4,.611,4.08,0.36,22,13,12,8,14,5,7,4,22,13,12,8,14,5,7,4,22,13,12,8,14,5,7,4,2368,2234,1470,844,2082,.405,207,647,.320,473,766,.617,562,1333,456,316,165,495,661
227,Oral Roberts,34,27,17,15,10,7,1,1,4,.794,5.24,-1.50,27,17,15,10,7,1,1,4,27,17,15,10,7,1,1,4,27,17,15,10,7,1,1,4,2467,2238,1375,864,1786,.484,182,507,.359,557,747,.746,363,979,459,222,90,436,572
228,Oregon State,36,21,7,14,4,15,11,6,7,.583,8.84,3.38,21,7,14,4,15,11,6,7,21,7,14,4,15,11,6,7,21,7,14,4,15,11,6,7,2841,2617,1470,995,2093,.475,221,616,.359,630,931,.677,421,1160,567,328,166,507,672
229,Oregon,34,24,13,17,7,10,5,3,5,.706,10.19,4.72,24,13,17,7,10,5,3,5,24,13,17,7,10,5,3,5,24,13,17,7,10,5,3,5,2527,2341,1360,883,1884,.469,246,658,.374,515,726,.709,360,1066,485,204,121,438,583
230,Pacific,30,11,6,8,3,19,10,7,11,.367,-8.04,-2.61,11,6,8,3,19,10,7,11,11,6,8,3,19,10,7,11,11,6,8,3,19,10,7,11,1888,2022,1210,644,1591,.405,200,624,.321,400,581,.688,313,871,376,155,54,360,518
231,Penn State,32,12,4,10,1,20,14,7,10,.375,3.72,7.75,12,4,10,1,20,14,7,10,12,4,10,1,20,14,7,10,12,4,10,1,20,14,7,10,1977,2106,1280,695,1770,.393,201,647,.311,386,563,.686,397,994,344,218,77,390,636
232,Pennsylvania,33,20,11,12,8,13,3,7,5,.606,1.12,-0.10,20,11,12,8,13,3,7,5,20,11,12,8,13,3,7,5,20,11,12,8,13,3,7,5,2146,2106,1335,767,1731,.443,238,637,.374,374,513,.729,281,888,447,241,83,414,647
233,Pepperdine,29,10,4,6,4,19,12,7,10,.345,-7.40,-0.23,10,4,6,4,19,12,7,10,10,4,6,4,19,12,7,10,10,4,6,4,19,12,7,10,1719,1911,1164,603,1523,.396,144,454,.317,369,560,.659,350,943,358,135,85,394,525
234,Pittsburgh,39,22,5,15,5,17,13,7,9,.564,9.43,5.89,22,5,15,5,17,13,7,9,22,5,15,5,17,13,7,9,22,5,15,5,17,13,7,9,2692,2554,1565,981,2164,.453,247,707,.349,483,691,.699,532,1286,593,183,103,495,671
235,Portland State,32,17,10,10,5,15,6,3,11,.531,-4.04,-4.07,17,10,10,5,15,6,3,11,17,10,10,5,15,6,3,11,17,10,10,5,15,6,3,11,2438,2345,1285,846,1751,.483,185,531,.348,561,761,.737,334,1008,370,170,90,431,539
236,Portland,31,7,3,3,1,24,13,9,14,.226,-7.88,3.82,7,3,3,1,24,13,9,14,7,3,3,1,24,13,9,14,7,3,3,1,24,13,9,14,2018,2357,1245,723,1691,.428,162,507,.320,410,571,.718,328,935,368,145,86,483,645
237,Prairie View,32,14,10,8,4,18,8,3,11,.438,-16.87,-10.29,14,10,8,4,18,8,3,11,14,10,8,4,18,8,3,11,14,10,8,4,18,8,3,11,2016,2101,1280,755,1922,.393,166,532,.312,340,629,.541,451,1112,346,251,103,514,621
238,Presbyterian,29,14,8,7,7,15,10,8,7,.483,-6.76,-4.65,14,8,7,7,15,10,8,7,14,8,7,7,15,10,8,7,14,8,7,7,15,10,8,7,1889,1918,1165,661,1425,.464,171,493,.347,396,563,.703,254,785,323,131,52,374,457
239,Princeton,32,20,10,10,9,12,4,2,9,.625,2.57,-1.00,20,10,10,9,12,4,2,9,20,10,10,9,12,4,2,9,20,10,10,9,12,4,2,9,2141,1999,1300,776,1681,.462,236,628,.376,353,520,.679,266,980,465,203,124,394,524
240,Providence,32,15,4,11,4,17,14,6,8,.469,4.16,4.56,15,4,11,4,17,14,6,8,15,4,11,4,17,14,6,8,15,4,11,4,17,14,6,8,2203,2216,1285,772,1806,.427,158,447,.353,501,712,.704,410,1063,435,170,166,391,542
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
241,Purdue NCAA,35,22,10,13,5,13,8,4,5,.629,13.88,8.05,22,10,13,5,13,8,4,5,22,10,13,5,13,8,4,5,22,10,13,5,13,8,4,5,2514,2310,1400,889,2019,.440,284,753,.377,452,689,.656,391,1039,470,226,110,306,620
242,Quinnipiac,32,18,10,9,9,14,8,4,9,.563,-2.01,-5.80,18,10,9,9,14,8,4,9,18,10,9,9,14,8,4,9,18,10,9,9,14,8,4,9,2271,2150,1290,828,1943,.426,141,423,.333,474,743,.638,534,1259,397,170,106,404,655
243,Radford,32,6,2,5,1,26,16,11,13,.188,-13.14,-3.34,6,2,5,1,26,16,11,13,6,2,5,1,26,16,11,13,6,2,5,1,26,16,11,13,1959,2195,1280,699,1819,.384,202,659,.307,359,564,.637,395,944,344,234,80,445,669
244,Rhode Island,31,7,4,4,2,24,12,11,13,.226,-3.78,3.10,7,4,4,2,24,12,11,13,7,4,4,2,24,12,11,13,7,4,4,2,24,12,11,13,2126,2339,1270,757,1888,.401,165,593,.278,447,648,.690,487,1090,348,200,121,451,559
245,Rice,35,19,8,12,7,16,8,6,7,.543,1.42,1.10,19,8,12,7,16,8,6,7,19,8,12,7,16,8,6,7,19,8,12,7,16,8,6,7,2438,2322,1405,859,1921,.447,195,573,.340,525,768,.684,335,1158,513,257,159,477,617
246,Richmond,32,16,7,11,4,16,9,4,11,.500,4.71,2.90,16,7,11,4,16,9,4,11,16,7,11,4,16,9,4,11,16,7,11,4,16,9,4,11,2207,2149,1285,724,1693,.428,250,699,.358,509,667,.763,294,890,397,194,161,367,561
247,Rider,32,13,10,8,5,19,8,5,10,.406,-5.40,-2.40,13,10,8,5,19,8,5,10,13,10,8,5,19,8,5,10,13,10,8,5,19,8,5,10,2291,2387,1295,771,1712,.450,246,653,.377,503,699,.720,296,964,443,191,127,483,558
248,Robert Morris,37,26,13,11,14,11,5,3,8,.703,0.67,-4.30,26,13,11,14,11,5,3,8,26,13,11,14,11,5,3,8,26,13,11,14,11,5,3,8,2532,2348,1485,844,2020,.418,240,682,.352,604,862,.701,525,1187,493,308,90,510,766
249,Rutgers,32,14,6,11,2,18,12,7,8,.438,5.42,5.76,14,6,11,2,18,12,7,8,14,6,11,2,18,12,7,8,14,6,11,2,18,12,7,8,2095,2106,1295,764,1802,.424,169,504,.335,398,571,.697,409,974,407,261,122,475,673
250,Sacramento State,28,10,5,6,4,18,11,9,9,.357,-9.67,-5.71,10,5,6,4,18,11,9,9,10,5,6,4,18,11,9,9,10,5,6,4,18,11,9,9,1875,1936,1120,663,1470,.451,152,448,.339,397,568,.699,279,846,386,130,64,383,535
251,Sacred Heart,32,14,8,7,5,18,10,6,11,.438,-6.87,-5.56,14,8,7,5,18,10,6,11,14,8,7,5,18,10,6,11,14,8,7,5,18,10,6,11,2277,2319,1300,807,1756,.460,207,561,.369,456,612,.745,321,985,446,211,102,491,588
252,Saint Francis (PA),29,6,5,5,1,23,13,8,15,.207,-13.18,-4.42,6,5,5,1,23,13,8,15,6,5,5,1,23,13,8,15,6,5,5,1,23,13,8,15,1763,2017,1160,652,1422,.459,135,401,.337,324,496,.653,245,736,363,188,80,457,503
253,Saint Joseph's,34,20,9,13,5,14,7,4,8,.588,8.25,4.25,20,9,13,5,14,7,4,8,20,9,13,5,14,7,4,8,20,9,13,5,14,7,4,8,2446,2310,1385,876,1862,.470,226,622,.363,468,676,.692,324,1125,493,163,244,430,517
254,Saint Louis NCAA,34,26,12,15,6,8,4,1,5,.765,15.15,4.06,26,12,15,6,8,4,1,5,26,12,15,6,8,4,1,5,26,12,15,6,8,4,1,5,2336,1960,1365,814,1813,.449,238,663,.359,470,653,.720,346,994,459,236,99,382,569
255,Saint Mary's (CA) NCAA,33,27,14,16,8,6,2,1,3,.818,11.26,0.78,27,14,16,8,6,2,1,3,27,14,16,8,6,2,1,3,27,14,16,8,6,2,1,3,2467,2068,1325,857,1811,.473,245,713,.344,508,697,.729,378,1152,520,227,102,383,527
256,Saint Peter's,31,5,4,3,2,26,14,10,13,.161,-13.37,-2.44,5,4,3,2,26,14,10,13,5,4,3,2,26,14,10,13,5,4,3,2,26,14,10,13,1799,2138,1240,668,1646,.406,154,489,.315,309,477,.648,321,851,390,236,110,484,598
257,Sam Houston State,32,13,7,8,5,19,9,7,9,.406,-9.09,-3.20,13,7,8,5,19,9,7,9,13,7,8,5,19,9,7,9,13,7,8,5,19,9,7,9,1875,1941,1285,657,1580,.416,149,501,.297,412,689,.598,336,1036,408,185,74,493,591
258,Samford,30,11,8,7,4,19,10,8,10,.367,-8.68,-2.96,11,8,7,4,19,10,8,10,11,8,7,4,19,10,8,10,11,8,7,4,19,10,8,10,1984,2092,1210,712,1604,.444,247,739,.334,313,478,.655,287,886,419,161,65,386,520
259,San Diego State NCAA,34,26,10,17,7,8,4,2,4,.765,9.04,3.79,26,10,17,7,8,4,2,4,26,10,17,7,8,4,2,4,26,10,17,7,8,4,2,4,2416,2166,1380,863,1903,.453,197,578,.341,493,703,.701,360,1153,417,189,79,426,543
260,San Diego,31,13,7,6,4,18,9,8,7,.419,-3.76,0.87,13,7,6,4,18,9,8,7,13,7,6,4,18,9,8,7,13,7,6,4,18,9,8,7,2079,2179,1245,744,1648,.451,199,548,.363,392,598,.656,271,860,421,207,102,424,565
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
261,San Francisco,34,20,8,12,5,14,8,5,6,.588,1.90,-0.17,20,8,12,5,14,8,5,6,20,8,12,5,14,8,5,6,20,8,12,5,14,8,5,6,2563,2413,1369,906,1942,.467,239,681,.351,512,745,.687,354,1048,470,285,63,442,609
262,San Jose State,31,9,1,6,2,22,13,8,13,.290,-7.86,-1.19,9,1,6,2,22,13,8,13,9,1,6,2,22,13,8,13,9,1,6,2,22,13,8,13,2099,2261,1270,715,1810,.395,232,701,.331,437,586,.746,342,944,416,151,38,341,548
263,Santa Clara,30,8,0,6,0,22,16,9,11,.267,-6.79,0.96,8,0,6,0,22,16,9,11,8,0,6,0,22,16,9,11,8,0,6,0,22,16,9,11,2085,2245,1210,717,1751,.409,239,657,.364,412,582,.708,344,923,384,151,98,348,625
264,Savannah State,33,21,14,14,6,12,2,1,10,.636,-3.59,-5.92,21,14,14,6,12,2,1,10,21,14,14,6,12,2,1,10,21,14,14,6,12,2,1,10,2089,1949,1325,746,1791,.417,192,586,.328,405,688,.589,464,1075,422,230,112,487,621
265,Seattle,27,12,0,9,2,15,0,6,9,.444,-4.18,-2.76,12,0,9,2,15,0,6,9,12,0,9,2,15,0,6,9,12,0,9,2,15,0,6,9,2065,2025,1085,779,1792,.435,191,578,.330,316,454,.696,371,1006,373,226,87,414,568
266,Seton Hall,34,21,8,14,4,13,10,4,7,.618,10.23,5.70,21,8,14,4,13,10,4,7,21,8,14,4,13,10,4,7,21,8,14,4,13,10,4,7,2324,2170,1375,833,1913,.435,236,668,.353,422,626,.674,381,1112,476,284,107,431,604
267,Siena,31,14,8,10,3,17,10,4,10,.452,-5.71,-2.94,14,8,10,3,17,10,4,10,14,8,10,3,17,10,4,10,14,8,10,3,17,10,4,10,1975,2061,1245,718,1692,.424,146,476,.307,393,577,.681,353,1018,391,180,106,437,432
268,South Alabama,29,17,8,9,6,12,8,5,6,.586,-2.81,-1.98,17,8,9,6,12,8,5,6,17,8,9,6,12,8,5,6,17,8,9,6,12,8,5,6,1935,1947,1175,682,1606,.425,136,400,.340,435,621,.700,440,1051,323,143,139,468,501
269,South Carolina State,31,5,0,4,1,26,16,9,16,.161,-20.80,-6.11,5,0,4,1,26,16,9,16,5,0,4,1,26,16,9,16,5,0,4,1,26,16,9,16,2001,2391,1250,721,1827,.395,142,498,.285,417,641,.651,447,1026,327,192,131,490,563
270,South Carolina Upstate,34,21,13,13,7,13,5,1,10,.618,-0.16,-1.60,21,13,13,7,13,5,1,10,21,13,13,7,13,5,1,10,21,13,13,7,13,5,1,10,2426,2321,1365,888,2024,.439,207,615,.337,443,695,.637,505,1158,440,286,144,512,663
271,South Carolina,31,10,2,9,1,21,14,9,9,.323,2.65,6.27,10,2,9,1,21,14,9,9,10,2,9,1,21,14,9,9,10,2,9,1,21,14,9,9,1903,2015,1245,689,1713,.402,204,625,.326,321,458,.701,383,879,309,212,151,396,561
272,South Dakota State NCAA,35,27,15,14,8,8,3,0,7,.771,7.34,-1.87,27,15,14,8,8,3,0,7,27,15,14,8,8,3,0,7,27,15,14,8,8,3,0,7,2689,2329,1415,918,1963,.468,284,728,.390,569,783,.727,363,1078,500,236,65,370,567
273,South Dakota,28,10,5,7,3,18,13,7,11,.357,-9.56,-2.88,10,5,7,3,18,13,7,11,10,5,7,3,18,13,7,11,10,5,7,3,18,13,7,11,1982,2101,1130,710,1576,.451,191,534,.358,371,530,.700,242,829,399,184,101,365,438
274,South Florida NCAA,36,22,12,14,5,14,6,2,8,.611,9.20,7.29,22,12,14,5,14,6,2,8,22,12,14,5,14,6,2,8,22,12,14,5,14,6,2,8,2134,2037,1450,772,1765,.437,169,534,.316,421,597,.705,374,1115,423,200,137,485,552
