G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
29,12,17,.414,9,4,3,13,1920,2077,681,1620,.420,182,553,.329,376,574,.655,990,340,197,74,444,541
35,22,13,.629,17,4,4,9,2607,2414,936,1947,.481,237,624,.380,498,657,.758,1104,433,276,116,513,627
40,35,5,.875,18,0,5,4,3193,2504,1125,2138,.526,297,727,.409,646,936,.690,1504,614,266,194,565,626
30,18,12,.600,11,3,6,6,1964,1925,679,1556,.436,188,526,.357,418,624,.670,949,409,220,123,426,579
32,22,10,.688,15,3,7,6,2283,2118,766,1836,.417,303,881,.344,448,691,.648,1230,462,184,206,432,519
31,15,16,.484,9,5,5,10,2102,2127,743,1676,.443,239,639,.374,377,516,.731,1004,444,205,65,459,579
30,9,21,.300,7,5,2,14,1902,2163,684,1652,.414,242,699,.346,292,461,.633,961,405,217,90,482,576
33,18,15,.545,7,7,8,8,2090,1951,790,1708,.463,191,559,.342,319,496,.643,1077,463,195,85,405,491
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
32,23,9,.719,13,1,6,5,2247,2067,824,1799,.458,171,465,.368,428,611,.700,1090,462,292,142,444,603
37,30,7,.811,14,3,9,3,2555,2146,923,1826,.505,235,635,.370,474,667,.711,1250,545,192,189,497,609
31,15,16,.484,7,5,5,10,2144,2116,816,1802,.453,152,431,.353,360,593,.607,1159,435,213,103,512,614
31,11,20,.355,7,8,3,12,1993,2226,685,1595,.429,180,495,.364,443,675,.656,1047,339,177,98,491,515
32,20,12,.625,17,1,1,8,2515,2222,935,1909,.490,201,540,.372,444,652,.681,1166,491,316,114,503,665
33,19,14,.576,15,4,3,9,2477,2279,918,1989,.462,263,691,.381,378,567,.667,1250,484,293,149,518,574
34,23,11,.676,12,2,6,5,2668,2383,933,1932,.483,230,583,.395,572,762,.751,1271,492,212,123,473,654
26,12,14,.462,9,2,3,11,1669,1824,595,1489,.400,128,419,.305,351,527,.666,957,274,156,78,437,509
33,18,15,.545,11,5,6,10,2232,2173,746,1730,.431,210,549,.383,530,697,.760,1088,371,172,86,385,548
