G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
30,5,25,.167,4,8,1,14,1802,2173,1200,647,1675,.386,140,512,.273,368,616,.597,330,1025,363,177,114,489,502
31,15,16,.484,10,4,3,10,2173,2182,1240,803,1734,.463,161,474,.340,406,614,.661,349,1099,458,180,119,446,598
29,11,18,.379,5,8,6,10,1753,1884,1180,610,1525,.400,190,609,.312,343,558,.615,324,944,344,232,87,449,545
33,17,16,.515,10,8,4,8,2251,2190,1340,817,1927,.424,190,568,.335,397,609,.652,432,1219,432,222,124,409,607
32,14,18,.438,10,6,2,10,2212,2237,1285,779,1796,.434,210,594,.354,444,669,.664,337,1081,419,172,54,388,561
32,23,9,.719,13,2,6,6,2126,1914,1285,779,1703,.457,135,383,.352,433,611,.709,378,1085,429,216,69,413,565
29,7,22,.241,5,9,2,13,1744,2097,1160,614,1581,.388,200,648,.309,316,517,.611,294,898,323,186,74,423,566
32,22,10,.688,12,2,9,7,2205,2047,1280,776,1804,.430,194,550,.353,459,663,.692,373,1164,371,229,62,404,571
35,30,5,.857,17,2,8,1,2832,2324,1400,1042,2021,.516,244,624,.391,504,745,.677,417,1337,673,336,221,532,515
35,29,6,.829,14,2,12,3,2273,1987,1410,851,1942,.438,204,605,.337,367,533,.689,377,1281,515,163,104,358,521
29,4,25,.138,4,9,0,16,1860,2215,1160,639,1677,.381,151,485,.311,431,642,.671,381,1041,313,205,97,454,558
32,9,23,.281,5,6,3,16,2154,2374,1305,750,1844,.407,258,693,.372,396,562,.705,392,1063,397,254,76,511,631
32,15,17,.469,9,5,6,11,2375,2474,1315,845,1801,.469,186,486,.383,499,720,.693,383,1105,423,201,75,481,696
37,28,9,.757,15,1,5,5,2720,2413,1485,991,2174,.456,218,681,.320,520,775,.671,441,1353,530,290,136,490,733
32,17,15,.531,10,2,5,11,2184,2119,1290,770,1681,.458,164,533,.308,480,723,.664,389,1161,422,250,122,556,584
34,24,10,.706,15,1,5,5,2426,2192,1370,813,1846,.440,210,626,.335,590,892,.661,400,1252,417,223,113,417,619
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
30,16,14,.533,11,5,4,7,2216,2205,1220,745,1739,.428,196,591,.332,530,770,.688,367,1082,364,208,108,452,705
32,13,19,.406,9,8,3,10,2169,2269,1295,759,1707,.445,248,704,.352,403,576,.700,297,1021,441,169,61,449,612
33,26,7,.788,15,2,8,2,2484,2131,1335,891,1879,.474,201,586,.343,501,744,.673,323,1193,488,288,120,435,643
33,6,27,.182,3,7,2,18,2019,2382,1340,693,1781,.389,211,669,.315,422,655,.644,292,1005,379,218,48,473,668
30,19,11,.633,11,3,6,7,2121,1983,1210,740,1683,.440,190,523,.363,451,593,.761,342,1029,352,199,50,347,499
33,17,16,.515,8,3,5,11,2241,2167,1330,822,1765,.466,140,461,.304,457,722,.633,362,1104,402,341,122,574,690
31,15,16,.484,11,3,4,10,2392,2413,1270,793,1902,.417,214,644,.332,592,886,.668,466,1226,449,285,96,556,773
35,19,16,.543,14,5,4,10,2684,2662,1430,922,2103,.438,196,528,.371,644,901,.715,422,1298,502,239,153,481,748
34,24,10,.706,15,2,5,6,2761,2381,1375,1005,2158,.466,195,566,.345,556,878,.633,503,1425,489,269,194,464,670
32,4,28,.125,4,11,0,15,1734,2137,1285,645,1572,.410,168,503,.334,276,440,.627,278,984,346,137,59,464,562
31,10,21,.323,6,9,3,11,2124,2363,1250,751,1796,.418,196,565,.347,426,638,.668,370,1063,391,195,151,396,524
33,20,13,.606,10,2,6,10,2467,2378,1325,932,1977,.471,240,655,.366,363,558,.651,374,1192,421,229,115,402,531
30,8,22,.267,5,10,2,9,1864,2005,1205,636,1603,.397,168,518,.324,424,612,.693,316,925,328,231,84,412,610
35,23,12,.657,18,2,5,7,2500,2284,1400,852,1871,.455,173,489,.354,623,881,.707,396,1336,438,156,195,461,617
32,14,18,.438,10,6,3,7,2139,2195,1300,784,1666,.471,186,573,.325,385,609,.632,305,1018,489,206,135,460,512
35,27,8,.771,17,1,8,5,2559,2097,1405,941,1928,.488,242,585,.414,435,574,.758,362,1238,584,162,123,358,562
30,12,18,.400,11,4,0,12,1906,1954,1206,650,1575,.413,178,502,.355,428,572,.748,288,994,362,184,64,403,531
31,14,17,.452,9,8,4,8,2059,2058,1250,692,1618,.428,185,580,.319,490,655,.748,284,1052,361,172,186,423,639
32,15,17,.469,9,4,5,12,2344,2378,1280,823,1764,.467,245,665,.368,453,636,.712,328,1037,479,227,71,439,644
33,24,9,.727,14,2,7,3,2537,2274,1325,859,1829,.470,203,552,.368,616,854,.721,361,1197,436,188,171,448,632
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
